iter	Passed	Remaining
0	3	392
1	6	337
2	10	329
3	12	309
4	15	303
5	19	303
6	22	295
7	25	294
8	28	291
9	31	284
10	34	281
11	37	276
12	41	276
13	44	275
14	48	272
15	51	269
16	54	266
17	57	262
18	60	258
19	63	254
20	66	250
21	69	247
22	73	245
23	76	241
24	79	238
25	82	235
26	86	232
27	89	229
28	92	225
29	95	222
30	98	219
31	101	216
32	104	212
33	108	210
34	111	206
35	114	203
36	117	200
37	120	197
38	123	193
39	126	190
40	130	187
41	131	181
42	134	178
43	138	175
44	140	172
45	144	169
46	147	166
47	150	163
48	153	159
49	156	156
50	159	153
51	163	150
52	166	147
53	169	144
54	171	140
55	175	138
56	179	135
57	181	131
58	184	128
59	188	125
60	191	122
61	194	119
62	197	116
63	200	112
64	203	109
65	207	106
66	209	103
67	212	100
68	215	97
69	219	93
70	222	90
71	225	87
72	228	84
73	231	81
74	234	78
75	237	75
76	240	71
77	243	68
78	246	65
79	250	62
80	253	59
81	256	56
82	259	53
83	262	50
84	265	46
85	269	43
86	272	40
87	274	37
88	278	34
89	281	31
90	284	28
91	287	24
92	290	21
93	293	18
94	297	15
95	299	12
96	302	9
97	305	6
98	309	3
99	312	0
